Description,Price/Unit,Unit,Price/Measure,Measure
"Sainsbury's Tomato Puree, Double Concentrate 200g",35p,unit,1.75,kg
Sainsbury's White Granulated Sugar 1kg,75p,unit,75p,kg
Sainsbury's Passata 500g,40p,unit,8p,100g
Napolina Chopped Tomatoes 400g,1.00,unit,2.50,kg
Heinz Baked Beans 4x415g,2.50,unit,1.51,kg
Heinz Baked Beans 415g,85p,unit,2.05,kg
Walkers Ready Salted Crisps 6x25g,1.70,unit,1.13,100g
McVitie's Milk Chocolate Digestives Biscuits 266g,1.00,unit,38p,100g
Napolina Chopped Tomatoes 4x400g,2.00,unit,1.25,kg
KTC Chopped Tomatoes 400g,40p,unit,10p,100g
Sainsbury's Red Kidney Beans in Water 400g (240g*),55p,unit,2.29,kg
Sainsbury's Chickpeas in Water 400g (240g*),55p,unit,2.29,kg
Sainsbury's Chopped Tomatoes Can 400g,35p,unit,88p,kg
Diet Coke 8x330ml,3.00,unit,11p,100ml
Sainsbury's Cream Crackers 300g,40p,unit,13p,100g
McVitie's Digestive Biscuits 400g,1.20,unit,30p,100g
Weetabix Cereal x24,2.80,unit,12p,bisc
Walkers Cheese & Onion Crisps 6x25g,1.70,unit,1.13,100g
Sainsbury's Fusilli 1kg,1.00,unit,1.00,kg
Heinz Baked Beans 3x200g,1.80,unit,3.00,kg
Jacob's Mini Cheddars Original x6 25g,1.00,unit,66p,100g
Sainsbury's Baked Beans In Tomato Sauce 200g,25p,unit,1.25,kg
Pom-Bear Original Multipack Crisps 6x13g,1.00,unit,1.28,100g
Princes Tuna Chunks in Spring Water 4x145g (112g*),3.50,unit,86p,100g
KTC Chick Peas 400g,45p,unit,11p,100g
Sainsbury's Basmati Rice 1kg,1.55,unit,1.55,kg
Walkers Salt & Vinegar Crisps 6x25g,1.70,unit,1.13,100g
Batchelors Super Noodles Chicken Flavour 90g,50p,unit,5.56,kg
Sainsbury's Runny Honey 340g,1.80,unit,53p,100g
Walkers Wotsits Really Cheesy Snacks 6x16.5g,1.25,unit,1.26,100g
Sainsbury's Wholegrain Malties Cereal 750g,1.10,unit,15p,100g
Cadbury Dairy Milk Giant Chocolate Buttons Bag 119g,1.00,unit,84p,100g
Cadbury Dairy Milk Chocolate Bar 200g,1.50,unit,75p,100g
Sainsbury's Scottish Porridge Oats 1.5kg,1.55,unit,10p,100g
Sainsbury's Bourbon Cream Biscuits 200g,35p,unit,18p,100g
